dataset_id,event_id,event_category,event_name,event_window_start,event_window_end,affected_companies,kpi_link,earnings_link,direction_hypothesis,source,source_quality,source_note,retrieved_at
airline_catalyst_calendar,cat_002,earnings_report,China Eastern Airlines 1H2026 report,2026-08-31,2026-08-31,China Eastern Airlines,reported ASK/RPK/LF/yield/cargo,actual revenue/op profit/net income vs pre-event forecast and consensus,validation catalyst: tests the pre-event forecast; revision trigger for FY26 consensus,filing_calendar,public_discovery,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_004,earnings_report,Juneyao Airlines 1H2026 report,2026-08-31,2026-08-31,Juneyao Airlines,reported ASK/RPK/LF/yield/cargo,actual revenue/op profit/net income vs pre-event forecast and consensus,validation catalyst: tests the pre-event forecast; revision trigger for FY26 consensus,filing_calendar,public_discovery,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_029,fuel,Monthly jet fuel benchmark + surcharge reviews,2026-09-01,2027-08-31,all carriers,fuel CASK (driver model),operating cost,2026 spot ~66% above FY25 avg; surcharge pass-through partial,eia_fuel_surcharge,official,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_026,holiday_demand,Mid-Autumn Festival travel,2026-09-25,2026-10-02,all mainland carriers,daily RPK / load factor,3Q revenue (peak travel),positive demand pulse; HSR competes on short-haul,holiday_calendar,official_calendar,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_027,holiday_demand,National Day Golden Week travel,2026-10-01,2026-10-08,all mainland carriers,daily RPK / load factor,3Q revenue,largest domestic demand window; yield test,holiday_calendar,official_calendar,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_031,seasonal_schedule,CAAC winter/spring 2026-27 schedule (Oct 2026),2026-10-25,2027-03-27,all mainland carriers,planned weekly flights / new routes,forward ASK (capacity pipeline),schedule change resets route mix; watch Spring/Juneyao route counts,caac_seasonal,official,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_028,holiday_demand,2027 Spring Festival transport (40-day),2027-01-25,2027-03-05,all mainland carriers,40-day passenger flow,1Q revenue,peak demand; 2026 baseline +5.7%/day normalized,mot_calendar,official_calendar,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_007,fleet_delivery,Air China: on-order 237 aircraft; observed trailing-12m net add 31; exp,2027-02-10,2027-02-10,Air China,ASK,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,high,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_011,fleet_delivery,China Eastern Airlines: on-order 280 aircraft; observed trailing-12m net add 15; exp,2027-02-10,2027-02-10,China Eastern Airlines,ASK,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,high,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_015,fleet_delivery,China Southern Airlines: on-order 238 aircraft; observed trailing-12m net add 21; exp,2027-02-10,2027-02-10,China Southern Airlines,ASK,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,high,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_019,fleet_delivery,Juneyao Airlines: on-order 25 aircraft; observed trailing-12m net add 0; expec,2027-02-10,2027-02-10,Juneyao Airlines,ASK,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,low_no_recent_delivery_pace,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_023,fleet_delivery,Spring Airlines: on-order 42 aircraft; observed trailing-12m net add 4; expec,2027-02-10,2027-02-10,Spring Airlines,ASK,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,medium,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_008,fleet_delivery,Air China: on-order 237 aircraft; observed trailing-12m net add 31; exp,2027-08-10,2027-08-10,Air China,ASK,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,high,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_012,fleet_delivery,China Eastern Airlines: on-order 280 aircraft; observed trailing-12m net add 15; exp,2027-08-10,2027-08-10,China Eastern Airlines,ASK,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,high,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_016,fleet_delivery,China Southern Airlines: on-order 238 aircraft; observed trailing-12m net add 21; exp,2027-08-10,2027-08-10,China Southern Airlines,ASK,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,high,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_020,fleet_delivery,Juneyao Airlines: on-order 25 aircraft; observed trailing-12m net add 0; expec,2027-08-10,2027-08-10,Juneyao Airlines,ASK,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,low_no_recent_delivery_pace,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_024,fleet_delivery,Spring Airlines: on-order 42 aircraft; observed trailing-12m net add 4; expec,2027-08-10,2027-08-10,Spring Airlines,ASK,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,medium,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_009,fleet_delivery,Air China: on-order 237 aircraft; observed trailing-12m net add 31; exp,2028-08-10,2028-08-10,Air China,ASK,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,high,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_013,fleet_delivery,China Eastern Airlines: on-order 280 aircraft; observed trailing-12m net add 15; exp,2028-08-10,2028-08-10,China Eastern Airlines,ASK,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,high,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_017,fleet_delivery,China Southern Airlines: on-order 238 aircraft; observed trailing-12m net add 21; exp,2028-08-10,2028-08-10,China Southern Airlines,ASK,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,high,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_021,fleet_delivery,Juneyao Airlines: on-order 25 aircraft; observed trailing-12m net add 0; expec,2028-08-10,2028-08-10,Juneyao Airlines,ASK,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,low_no_recent_delivery_pace,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_025,fleet_delivery,Spring Airlines: on-order 42 aircraft; observed trailing-12m net add 4; expec,2028-08-10,2028-08-10,Spring Airlines,ASK,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,medium,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
