dataset_id,company,parent_group,ticker,risk_category,risk,leading_indicator,current_evidence,invalidation_trigger,earnings_impact_channel,current_status,is_modelled_analysis,hsr_coverage_status,formal_report_scheduled_date,source_as_of_date,source_quality,source_paths,retrieved_at
airline_forward_invalidation_rules,China Eastern Airlines,China Eastern Airlines,600115.SH,fuel_cost,Fuel/cost shock is not absorbed,"Fuel cost share, +5% fuel sensitivity and surcharge policy",FY2025 fuel share=31.863996382572168; +5% pre-tax sensitivity=-323.59916814295616 USD mn,"Fuel +5% overlay is not offset by realized yield, surcharge recovery or non-fuel CASK control","fuel expense, CASK and earnings sensitivity",monitor_before_formal_1H2026,True,partial_route_panel_missing_rail_or_ask_weight,2026-08-31,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,China Eastern Airlines,China Eastern Airlines,600115.SH,profit_scope,Profit bridge or scope breaks,"FY2025 profit-base method, 9 Air scope and current consensus",profit method=consensus_margin_fallback_negative_FY2025_profit; consensus net margin=0.2736402501504414,"Formal interim result invalidates the profit proxy, or disclosed scope/mix cannot support the bridge","net-profit conversion, consolidated margin and expectations gap",monitor_before_formal_1H2026,True,partial_route_panel_missing_rail_or_ask_weight,2026-08-31,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,Spring Airlines,Spring Airlines,601021.SH,demand_capacity,Demand fails capacity,H1 RPK versus ASK growth and passenger load factor,H1 RPK growth=18.01% vs ASK growth=15.36%; gap=2.65pp,RPK−ASK gap turns <= 0 or passenger load factor declines in the next validation window,traffic volume and load-factor operating leverage,monitor_before_formal_1H2026,True,partial_route_panel_with_verified_observations,2026-08-29,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,Spring Airlines,Spring Airlines,601021.SH,pricing,Pricing/mix fails the bridge,Reported passenger yield/RASK versus the base assumption,FY2025 yield=0.37; base RASK growth=0.00%,Realized yield/RASK is below the base case by more than 2 percentage points,revenue per ASK and operating margin,monitor_before_formal_1H2026,True,partial_route_panel_with_verified_observations,2026-08-29,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,Spring Airlines,Spring Airlines,601021.SH,fuel_cost,Fuel/cost shock is not absorbed,"Fuel cost share, +5% fuel sensitivity and surcharge policy",FY2025 fuel share=33.58812099725375; +5% pre-tax sensitivity=-46.14426729775733 USD mn,"Fuel +5% overlay is not offset by realized yield, surcharge recovery or non-fuel CASK control","fuel expense, CASK and earnings sensitivity",monitor_before_formal_1H2026,True,partial_route_panel_with_verified_observations,2026-08-29,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,Spring Airlines,Spring Airlines,601021.SH,profit_scope,Profit bridge or scope breaks,"FY2025 profit-base method, 9 Air scope and current consensus",profit method=positive_FY2025_net_margin_carry; consensus net margin=8.585943062063588,"Formal interim result invalidates the profit proxy, or disclosed scope/mix cannot support the bridge","net-profit conversion, consolidated margin and expectations gap",monitor_before_formal_1H2026,True,partial_route_panel_with_verified_observations,2026-08-29,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,Hainan Airlines Holdings,Hainan Airlines Holdings,600221.SH,demand_capacity,Demand fails capacity,H1 RPK versus ASK growth and passenger load factor,H1 RPK growth=0.10% vs ASK growth=-1.69%; gap=1.79pp,RPK−ASK gap turns <= 0 or passenger load factor declines in the next validation window,traffic volume and load-factor operating leverage,monitor_before_formal_1H2026,True,no_route_candidates_extracted_yet,2026-08-25,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,Hainan Airlines Holdings,Hainan Airlines Holdings,600221.SH,pricing,Pricing/mix fails the bridge,Reported passenger yield/RASK versus the base assumption,FY2025 yield=0.4477821956397012; base RASK growth=0.00%,Realized yield/RASK is below the base case by more than 2 percentage points,revenue per ASK and operating margin,monitor_before_formal_1H2026,True,no_route_candidates_extracted_yet,2026-08-25,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,Hainan Airlines Holdings,Hainan Airlines Holdings,600221.SH,fuel_cost,Fuel/cost shock is not absorbed,"Fuel cost share, +5% fuel sensitivity and surcharge policy",FY2025 fuel share=31.77704607946548; +5% pre-tax sensitivity=-148.81301901204137 USD mn,"Fuel +5% overlay is not offset by realized yield, surcharge recovery or non-fuel CASK control","fuel expense, CASK and earnings sensitivity",monitor_before_formal_1H2026,True,no_route_candidates_extracted_yet,2026-08-25,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,Hainan Airlines Holdings,Hainan Airlines Holdings,600221.SH,profit_scope,Profit bridge or scope breaks,"FY2025 profit-base method, 9 Air scope and current consensus",profit method=positive_FY2025_net_margin_carry; consensus net margin=2.6488322824083936,"Formal interim result invalidates the profit proxy, or disclosed scope/mix cannot support the bridge","net-profit conversion, consolidated margin and expectations gap",monitor_before_formal_1H2026,True,no_route_candidates_extracted_yet,2026-08-25,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,Juneyao Airlines,Juneyao Airlines,603885.SH,demand_capacity,Demand fails capacity,H1 RPK versus ASK growth and passenger load factor,H1 RPK growth=2.73% vs ASK growth=1.13%; gap=1.60pp,RPK−ASK gap turns <= 0 or passenger load factor declines in the next validation window,traffic volume and load-factor operating leverage,monitor_before_formal_1H2026,True,partial_route_panel_with_verified_observations,2026-08-31,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,Juneyao Airlines,Juneyao Airlines,603885.SH,pricing,Pricing/mix fails the bridge,Reported passenger yield/RASK versus the base assumption,FY2025 yield=0.46; base RASK growth=0.00%,Realized yield/RASK is below the base case by more than 2 percentage points,revenue per ASK and operating margin,monitor_before_formal_1H2026,True,partial_route_panel_with_verified_observations,2026-08-31,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,Juneyao Airlines,Juneyao Airlines,603885.SH,fuel_cost,Fuel/cost shock is not absorbed,"Fuel cost share, +5% fuel sensitivity and surcharge policy",FY2025 fuel share=32.936047884835574; +5% pre-tax sensitivity=-48.0657372461424 USD mn,"Fuel +5% overlay is not offset by realized yield, surcharge recovery or non-fuel CASK control","fuel expense, CASK and earnings sensitivity",monitor_before_formal_1H2026,True,partial_route_panel_with_verified_observations,2026-08-31,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,Juneyao Airlines,Juneyao Airlines,603885.SH,profit_scope,Profit bridge or scope breaks,"FY2025 profit-base method, 9 Air scope and current consensus",profit method=positive_FY2025_net_margin_carry; consensus net margin=3.750758648593971; 9 Air passenger share=26.90360183125264%; fleet share=20.155038759689923%,"Formal interim result invalidates the profit proxy, or disclosed scope/mix cannot support the bridge","net-profit conversion, consolidated margin and expectations gap",monitor_before_formal_1H2026,True,partial_route_panel_with_verified_observations,2026-08-31,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
